OLT,F,S,P,Código QR,Cuenta,Latitud,Longitud,Capacidad,Ubicacion
ALDAMA_2_JUA,3,1,0,TP1078980,0102644393,31.723913,-106.496797,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP1078980,0106226039,31.723913,-106.496797,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP245751,0108241543,31.729462,-106.497422,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP245751,0105773101,31.729462,-106.497422,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248109,0104793892,31.726181,-106.497383,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248109,0140820241,31.726181,-106.497383,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248109,0142363778,31.726181,-106.497383,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248109,0132318264,31.726181,-106.497383,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248109,0107445389,31.726181,-106.497383,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248109,0115499523,31.726181,-106.497383,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248109,0101486254,31.726181,-106.497383,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248109,0107607604,31.726181,-106.497383,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248109,0113983996,31.726181,-106.497383,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248109,0135450917,31.726181,-106.497383,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248109,0131379804,31.726181,-106.497383,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248109,0104790293,31.726181,-106.497383,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248111,0140796107,31.726087,-106.495922,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248111,0112864125,31.726087,-106.495922,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248111,0105227928,31.726087,-106.495922,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248111,0143296741,31.726087,-106.495922,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248111,0106004563,31.726087,-106.495922,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248111,0102765874,31.726087,-106.495922,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248111,0117134406,31.726087,-106.495922,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248111,0120975811,31.726087,-106.495922,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248111,0102032149,31.726087,-106.495922,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248155,0141078880,31.729363,-106.496047,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248155,0142269635,31.729363,-106.496047,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248155,0132608994,31.729363,-106.496047,1:16,Poste
